"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","920","Проверка регистрации с валидными данными на странице Checkout: Your Information","Surefire suite","Sun Jun 15 17:26:10 GMT 2025","passed","Sun Jun 15 17:26:11 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","isPersonalInfoValid"
"","776","Проверка перехода со страницы Your Cart на страницу Products при нажатии на кнопкуContinue Shopping","Surefire suite","Sun Jun 15 17:26:14 GMT 2025","passed","Sun Jun 15 17:26:14 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShoppingButton"
"","710","Проверка перехода со страницы Products на страницу Your Cart","Surefire suite","Sun Jun 15 17:26:05 GMT 2025","passed","Sun Jun 15 17:26:05 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkShoppingCart"
"","812","Проверка перехода со страницы Your Cart на страницу Checkout: Your Information","Surefire suite","Sun Jun 15 17:26:12 GMT 2025","passed","Sun Jun 15 17:26:13 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCheckoutButton"
"","707","Проверка наличия товара в корзине после добавления","Surefire suite","Sun Jun 15 17:26:11 GMT 2025","passed","Sun Jun 15 17:26:12 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCartIsNotEmpty"
"","1963","Проверка перехода на страницу товаров и корректной работы кнопки Add to cart","Surefire suite","Sun Jun 15 17:26:02 GMT 2025","passed","Sun Jun 15 17:26:04 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkAddToCart"
"","988","Проверка регистрации на странице Checkout: Your Information с пустым полем First Name","Surefire suite","Sun Jun 15 17:26:06 GMT 2025","passed","Sun Jun 15 17:26:07 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkEmptyFirstNameField"
"","923","Проверка регистрации на странице Checkout: Your Information с пустым полем Last Name","Surefire suite","Sun Jun 15 17:26:07 GMT 2025","passed","Sun Jun 15 17:26:08 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkEmptyLastNameField"
"","943","Проверка регистрации на странице Checkout: Your Information с пустым полем Postal Code","Surefire suite","Sun Jun 15 17:26:09 GMT 2025","passed","Sun Jun 15 17:26:10 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkEmptyPostalCodeField"
